habitat,id,status_path,status_color,status_text,link_path,link,link_title
pelagic,whales,path#whales,,,path#whales,,Whales
pelagic,forage-fish,g#forage-fish path,,,g#forage-fish,,Forage Fish
kelp-forest,otters,path#otters,,,path#otters,,Sea Otters
pelagic,pinnipeds,path#pinnipeds,purple,status here,path#pinnipeds,./pages/pinnipeds.html,Pinnipeds
pelagic,leatherbacks,path#leatherbacks,,,path#leatherbacks,,Leatherback Turtles
pelagic,salmon,g#salmon path,,,g#salmon,,Salmon
pelagic,phytoplankton,g#phytoplankton path,,,g#phytoplankton,,Phytoplankton
pelagic,seabirds,g#seabirds path,,,g#seabirds,,Seabirds
pelagic,squid,path#squid,,,path#squid,,Squid
pelagic,midwater-larval-fish,g#midwater-larval-fish path,,,g#midwater-larval-fish,,Midwater Larval Fish
pelagic,forage-inverts,g#forage-inverts path,,,g#forage-inverts,,Forage Invertebrates
coral-reef,algal-farmers,#algal-farmers,,,#algal-farmers,./pages/algal-farmers.html,Algal farmer fish
coral-reef,benthic-invertivores,#benthic-invertivores,,,#benthic-invertivores,./pages/benthic-invertivores.html,Benthic invertivore fish
coral-reef,browsing-herbivores,#browsing-herbivores,,,#browsing-herbivores,./pages/browsing-herbivores.html,Browsing herbivore fish
coral-reef,cleaners,#cleaners,,,#cleaners,./pages/cleaners.html,Cleaner fish
coral-reef,corallivores,#corallivores,,,#corallivores,./pages/corallivores.html,Corallivore fish
coral-reef,exploited,#exploited,,,#exploited,./pages/exploited.html,Exploited fish
coral-reef,forage-fish,#forage-fish,,,#forage-fish,./pages/forage-fish.html,Forage fish
coral-reef,higher-carnivores,#higher-carnivores,,,#higher-carnivores,./pages/higher-carnivores.html,Higher carnivore fish
coral-reef,invasives,#invasives,,,#invasives,./pages/invasives.html,Invasive fish
coral-reef,omnivores,#omnivores,,,#omnivores,./pages/omnivores.html,Omnivore fish
coral-reef,ornamentals,#ornamentals,,,#ornamentals,./pages/ornamentals.html,Ornamental fish
coral-reef,planktivores,#planktivores,,,#planktivores,./pages/planktivores.html,Planktivore fish
coral-reef,scraping-herbivores,#scraping-herbivores,,,#scraping-herbivores,./pages/scraping-herbivores.html,Scraping herbivore fish
