habitat,id,status_path,status_color,status_text,link_path,link,link_title
pelagic,whales,path#whales,,,path#whales,,Whales
pelagic,forage-fish,g#forage-fish path,,,g#forage-fish,,Forage Fish
kelp-forest,otters,path#otters,,,path#otters,,Sea Otters
pelagic,pinnipeds,path#pinnipeds,purple,status here,path#pinnipeds,./pages/pinnipeds.html,Pinnipeds
pelagic,leatherbacks,path#leatherbacks,,,path#leatherbacks,,Leatherback Turtles
pelagic,salmon,g#salmon path,,,g#salmon,,Salmon
pelagic,phytoplankton,g#phytoplankton path,,,g#phytoplankton,,Phytoplankton
pelagic,seabirds,g#seabirds path,,,g#seabirds,,Seabirds
pelagic,squid,path#squid,,,path#squid,,Squid
pelagic,midwater-larval-fish,g#midwater-larval-fish path,,,g#midwater-larval-fish,,Midwater Larval Fish
pelagic,forage-inverts,g#forage-inverts path,,,g#forage-inverts,,Forage Invertebrates
coral-reef,algal-farmers,#algal-farmers,,,#algal-farmers,./pages/algal-farmers.html,Algal farmer fish
coral-reef_skip,ornamentals,#ornamentals,,,#ornamentals,,Ornamental fish
coral-reef_skip,higher-carnivores,#higher-carnivores,,,#higher-carnivores,,Higher carnivore fish
coral-reef_skip,browsing-herbivores,#browsing-herbivores,,,#browsing-herbivores,,Browsing herbivore fish
coral-reef_skip,exploited,#exploited,,,#exploited,,Exploited fish
coral-reef_skip,corallivores,#corallivores,,,#corallivores,,Corallivore fish
coral-reef_skip,planktivores,#planktivores,,,#planktivores,,Planktivore fish
coral-reef_skip,cleaners,#cleaners,,,#cleaners,,Cleaner fish
coral-reef_skip,forage-fish,#forage-fish,,,#forage-fish,,Forage fish
coral-reef_skip,invasives,#invasives,,,#invasives,,Invasive fish
coral-reef_skip,scraping-herbivores,#scraping-herbivores,,,#scraping-herbivores,,Scraping herbivore fish
coral-reef_skip,omnivores,#omnivores,,,#omnivores,,Omnivore fish
coral-reef_skip,benthic-invertivores,#benthic-invertivores,,,#benthic-invertivores,,Benthic invertivore fish
