region,ecosystem_component,category,indicator,site_or_season,y_label,element,image_url,csv_url,csv_local,filter,col_t,col_y,skip_lines
California Current,Marine Mammals,,Female sea lion pup growth rate,34.03 deg N 120.44 deg W,Mean growth rate,pinnipeds,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.png?time,mean_growth_rate&.draw=lines","http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csv?time,mean_growth_rate",,,,,
California Current,Marine Mammals,,Female sea lion pup weight index,34.03 deg N 120.44 deg W,Mean pup weight,pinnipeds,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.png?time,mean_weight&.draw=lines","http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csv?time,mean_weight",,,,,
California Current,Marine Mammals,,"Sea lion pup count, San Miguel Isl.",34.03 deg N 120.44 deg W,Average live pup count,pinnipeds,"http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.png?time,live_pup_count&.draw=lines","http://oceanview.pfeg.noaa.gov/erddap/tabledap/cciea_MM_pup_count.csv?time,live_pup_count",,,,,
California Current,Ecological Integrity,Diversity,Coastal pelagics-Simp north,,,,,,,,,,
California Current,Ecological Integrity,Diversity,Coastal pelagics-Spp north,,,,,,,,,,
California Current,Ecological Integrity,Diversity,Groundfish Simpson diversity - coastwide,32N to 48.45N,,,,,,,,,
California Current,Ecological Integrity,Diversity,Groundfish Simpson diversity - north,40.4N to 48.45N,,,,,,,,,
California Current,Ecological Integrity,Diversity,Groundfish Simpson diversity - south,32N to 40.4 N,,,,,,,,,
California Current,Ecological Integrity,Diversity,Groundfish species richness - coastwide,32N to 48.45N,,,,,,,,,
California Current,Ecological Integrity,Diversity,Groundfish species richness - north,40.4N to 48.45N,,,,,,,,,
California Current,Ecological Integrity,Diversity,Groundfish species richness - south,32N to 40.4 N,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Anchovy central,,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Anchovy north,44.6 - 48.24 deg N 124.0 - 124.7 deg W,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Anchovy south,"CalCOFI lines 76.7-93.3, stations 28.0 - 120.0",,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Barracudina south,"CalCOFI lines 76.7-93.3, stations 28.0 - 120.0",,,,,,,,,
California Current,Ecological Integrity,Forage Availability,"Forage availability - central, high energy taxa",,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,"Forage availability - central, medium energy taxa",,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,"Forage availability - north, high energy taxa",44.6 - 48.24 deg N 124.0 - 124.7 deg W,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,"Forage availability - north, medium energy taxa",44.6 - 48.24 deg N 124.0 - 124.7 deg W,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Herring north,44.6 - 48.24 deg N 124.0 - 124.7 deg W,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Jack mackerel north,44.6 - 48.24 deg N 124.0 - 124.7 deg W,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Jack mackerel south,"CalCOFI lines 76.7-93.3, stations 28.0 - 120.0",,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Krill central,,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Lightfish south,"CalCOFI lines 76.7-93.3, stations 28.0 - 120.0",,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Market squid central,,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Market squid north,44.6 - 48.24 deg N 124.0 - 124.7 deg W,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Myctophid south,"CalCOFI lines 76.7-93.3, stations 28.0 - 120.0",,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Pacific hake central,,,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Pacific hake south,"CalCOFI lines 76.7-93.3, stations 28.0 - 120.0",,,,,,,,,
California Current,Ecological Integrity,Forage Availability,Pacific sanddab central,,,,,,,,,,
