habitat,id,status_path,status_color,status_text,link_path,link,link_title
pelagic,whales,path#whales,,,path#whales,,Whales
pelagic,forage-fish,g#forage-fish path,,,g#forage-fish,,Forage Fish
kelp-forest,otters,path#otters,,,path#otters,,Sea Otters
pelagic,pinnipeds,path#pinnipeds,purple,status here,path#pinnipeds,./pages/pinnipeds.html,Pinnipeds
pelagic,leatherbacks,path#leatherbacks,,,path#leatherbacks,,Leatherback Turtles
pelagic,salmon,g#salmon path,,,g#salmon,,Salmon
pelagic,phytoplankton,g#phytoplankton path,,,g#phytoplankton,,Phytoplankton
pelagic,seabirds,g#seabirds path,,,g#seabirds,,Seabirds
pelagic,squid,path#squid,,,path#squid,,Squid
pelagic,midwater-larval-fish,g#midwater-larval-fish path,,,g#midwater-larval-fish,,Midwater Larval Fish
pelagic,forage-inverts,g#forage-inverts path,,,g#forage-inverts,,Forage Invertebrates
